school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,_schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
2015-16,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17.0,712.0,,1,P.S. 006,0.0,1.0,2.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BROOKLYN,11226.0,40.64859,-73.957138,14.0,40.0,794.0,3117230.0,3051030079.0,Erasmus                                                                    
2015-16,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16.0,231.0,,1,P.S. 005 Dr. Ronald Mcnair,0.0,0.0,2.0,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN,11233.0,40.685695,-73.922463,3.0,41.0,377.0,3039906.0,3014900001.0,Stuyvesant Heights                                                         
2015-16,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13.0,450.0,,1,P.S. 003 The Bedford Village,0.0,0.0,2.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN,11216.0,40.682663,-73.955338,3.0,36.0,227.0,3057406.0,3019980001.0,Clinton Hill                                                               
2015-16,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17.0,1378.0,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0.0,3.0,1.0,0.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
2015-16,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17.0,374.0,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BROOKLYN,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
2015-16,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17.0,529.0,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BROOKLYN,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
2015-16,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17.0,475.0,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BROOKLYN,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
2015-16,X953,75XHOS,Hospital Schools - Bronx,X402,3450 EAST TREMONT AVENUE,X,8.0,,3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION ,4,Hospital Schools - Brooklyn|  Hospital Schools|  Hospital Schools - Bronx|  Home Instruction - Bronx|  3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION ,,,,,,,,,,,,,BRONX,10465.0,40.832117,-73.82749,10.0,13.0,166.0,2079386.0,2055310021.0,Schuylerville-Throgs Neck-Edgewater Park                                   
2015-16,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15.0,1280.0,,1,P.S. 001 The Bergen,0.0,1.0,0.0,1.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,BROOKLYN,11220.0,40.649042,-74.012289,7.0,38.0,80.0,3011821.0,3007550022.0,Sunset Park West                                                           
2015-16,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13.0,924.0,,1,P.S. 008 Robert Fulton,3.0,0.0,0.0,3.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN,11201.0,40.70071,-73.993241,2.0,33.0,1.0,3001540.0,3002110001.0,Brooklyn Heights-Cobble Hill                                               
