"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","contact_extension","pct_students_tested","academic_tier_rating"
"01M292",HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,"29","355","404","363",218160,x345,"78%",2.0
"01M448",UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,"91","383","423","366",268547,x234,,3.0
"01M450",EAST SIDE COMMUNITY SCHOOL,"70","377","402","370",236446,x123,,3.0
"01M458",FORSYTH SATELLITE ACADEMY,"7","414","401","359",427826,x123,"92%",4.0
"01M509",MARTA VALLE HIGH SCHOOL,"44","390","433","384",672714,x123,"92%",2.0
"01M515",LOWER EAST SIDE PREPARATORY HIGH SCHOOL,"112","332","557","316",414951,x345,,3.0
"01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL","159","522","574","525",697107,,"78%",2.0
"01M650",CASCADES HIGH SCHOOL,"18","417","418","411",297600,,"92%",4.0
"01M696",BARD HIGH SCHOOL EARLY COLLEGE,"130","624","604","628",881396,x234,,
"02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL","16","395","400","387",751293,,"78%",4.0
"02M288",FOOD AND FINANCE HIGH SCHOOL,"62","409","393","392",366268,,"92%",
"02M294",ESSEX STREET ACADEMY,"53","394","384","378",782993,x345,"78%",4.0
"02M296",HIGH SCHOOL OF HOSPITALITY MANAGEMENT,"58","374","375","362",828714,,"92%",3.0
"02M298",PACE HIGH SCHOOL,"85","423","438","432",778948,x345,"78%",2.0
"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE","48","404","449","416",107670,x345,"92%",
"02M303","FACING HISTORY SCHOOL, THE","76","353","358","340",612918,,,
"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE","50","375","388","385",746648,,"85%",
"02M308",LOWER MANHATTAN ARTS ACADEMY,"40","403","392","405",642722,x123,,4.0
"02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING","69","408","390","390",981746,x123,,2.0
"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE","42","373","370","384",183677,x123,"92%",
"02M374",GRAMERCY ARTS HIGH SCHOOL,"60","391","391","394",104952,x234,"85%",
"02M376",NYC ISCHOOL,"92","473","483","479",553041,x345,"78%",4.0
"02M392",MANHATTAN BUSINESS ACADEMY,s,s,s,s,501072,,"85%",
"02M393",BUSINESS OF SPORTS SCHOOL,s,s,s,s,143204,x234,,2.0
"02M394",EMMA LAZARUS HIGH SCHOOL,"79","319","512","357",356123,x345,"78%",2.0
"02M399",THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s,s,371710,x123,"85%",
"02M400",HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,"263","465","493","461",449778,,,2.0
"02M407",INSTITUTE FOR COLLABORATIVE EDUCATION,"54","492","465","467",992626,,"85%",
"02M408",PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,"94","509","490","523",765316,x234,"92%",1.0
"02M411",BARUCH COLLEGE CAMPUS HIGH SCHOOL,"104","496","563","518",381202,,,3.0
"02M412",N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,"114","537","590","550",425108,x345,"92%",4.0
"02M413",SCHOOL OF THE FUTURE HIGH SCHOOL,"66","517","533","515",319140,x234,"85%",3.0
"02M414",N.Y.C. MUSEUM SCHOOL,"103","468","492","459",414827,x234,"92%",1.0
"02M416",ELEANOR ROOSEVELT HIGH SCHOOL,"127","572","594","592",799903,x345,"92%",2.0
"02M418",MILLENNIUM HIGH SCHOOL,"144","528","553","533",848911,x123,"85%",2.0
"02M419",LANDMARK HIGH SCHOOL,"62","390","399","381",166135,x123,"78%",2.0
"02M420",HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,"336","429","449","428",909712,x345,"92%",3.0
"02M425",LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,"84","416","426","391",436071,x234,"92%",4.0
"02M427",MANHATTAN ACADEMY FOR ARTS & LANGUAGE,s,s,s,s,521180,x234,,4.0
"02M429",LEGACY SCHOOL FOR INTEGRATED STUDIES,"29","356","357","349",536177,,"92%",1.0
"02M437",HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s,254767,x345,,2.0
"02M438",INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,s,s,s,s,259655,x123,"78%",1.0
"02M439",MANHATTAN VILLAGE ACADEMY,"95","441","473","458",190235,,"85%",1.0
"02M440",BAYARD RUSTIN EDUCATIONAL COMPLEX,"59","378","365","368",649686,x234,"92%",2.0
"02M449",VANGUARD HIGH SCHOOL,"72","395","416","388",320922,x345,"85%",4.0
"02M459",MANHATTAN INTERNATIONAL HIGH SCHOOL,"49","376","460","391",563511,,"85%",3.0
"02M460",WASHINGTON IRVING HIGH SCHOOL,"151","373","387","360",717859,x123,"78%",3.0
"02M473",WASHINGTON IRVING YABC,s,s,s,s,563977,x345,"92%",3.0
"02M475",STUYVESANT HIGH SCHOOL,"832","679","735","682",295947,,,4.0
"02M489",HIGH SCHOOL OF ECONOMICS AND FINANCE,"167","443","489","442",775466,x234,"92%",4.0
"02M500",UNITY CENTER FOR URBAN TECHNOLOGIES,"25","370","349","351",560831,x123,,
"02M519",TALENT UNLIMITED HIGH SCHOOL,"81","469","472","475",641361,x345,,
"02M520",MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,"264","407","440","393",892839,,"92%",2.0
"02M529",JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,"131","414","425","400",643403,x123,"85%",4.0
"02M531",REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,"42","429","404","420",630240,x345,,
"02M542",MANHATTAN BRIDGES HIGH SCHOOL,"66","336","378","344",794996,x123,"85%",
"02M543",NEW DESIGN HIGH SCHOOL,"73","391","395","382",246078,x234,"78%",2.0
"02M544",INDEPENDENCE HIGH SCHOOL,"14","389","371","335",657823,x345,"85%",3.0
"02M545",HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,"78","412","581","431",216576,x234,"78%",1.0
"02M550",LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,"26","368","436","352",651973,x123,"78%",4.0
"02M551",THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,"77","405","423","384",527749,x345,"92%",3.0
"02M560",HIGH SCHOOL M560 s CITY AS SCHOOL,"56","498","440","477",785873,x345,"85%",4.0
"02M565",URBAN ACADEMY LABORATORY HIGH SCHOOL,"30","527","508","512",660366,x123,"85%",4.0
"02M570",SATELLITE ACADEMY HIGH SCHOOL,"33","350","337","345",875682,x345,"85%",1.0
"02M575",MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,"121","345","517","343",683603,x123,"78%",1.0
"02M580",RICHARD R. GREEN HIGH SCHOOL OF TEACHING,"84","408","384","403",947461,x234,,4.0
"02M586",HARVEY MILK HIGH SCHOOL,"9","458","416","429",392545,,"85%",4.0
"02M600",THE HIGH SCHOOL OF FASHION INDUSTRIES,"335","423","423","411",894293,x123,"78%",1.0
"02M605",HUMANITIES PREPARATORY ACADEMY,"36","426","403","426",930254,x345,,1.0
"02M615",CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"83","399","418","390",477516,x234,"92%",4.0
