"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","pct_students_tested","academic_tier_rating"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","29","355","404","363","218160","0.78","2"
"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL","91","383","423","366","268547","0","3"
"01M450","EAST SIDE COMMUNITY SCHOOL","70","377","402","370","236446","0","3"
"01M458","FORSYTH SATELLITE ACADEMY","7","414","401","359","427826","0.92","4"
"01M509","MARTA VALLE HIGH SCHOOL","44","390","433","384","672714","0.92","2"
"01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL","112","332","557","316","414951","0","3"
"01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL","159","522","574","525","697107","0.78","2"
"01M650","CASCADES HIGH SCHOOL","18","417","418","411","297600","0.92","4"
"01M696","BARD HIGH SCHOOL EARLY COLLEGE","130","624","604","628","881396","0",""
"02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL","16","395","400","387","751293","0.78","4"
"02M288","FOOD AND FINANCE HIGH SCHOOL","62","409","393","392","366268","0.92",""
"02M294","ESSEX STREET ACADEMY","53","394","384","378","782993","0.78","4"
"02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT","58","374","375","362","828714","0.92","3"
"02M298","PACE HIGH SCHOOL","85","423","438","432","778948","0.78","2"
"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE","48","404","449","416","107670","0.92",""
"02M303","FACING HISTORY SCHOOL, THE","76","353","358","340","612918","0",""
"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE","50","375","388","385","746648","0.85",""
"02M308","LOWER MANHATTAN ARTS ACADEMY","40","403","392","405","642722","0","4"
"02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING","69","408","390","390","981746","0","2"
"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE","42","373","370","384","183677","0.92",""
"02M374","GRAMERCY ARTS HIGH SCHOOL","60","391","391","394","104952","0.85",""
"02M376","NYC ISCHOOL","92","473","483","479","553041","0.78","4"
"02M394","EMMA LAZARUS HIGH SCHOOL","79","319","512","357","356123","0.78","2"
"02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","263","465","493","461","449778","0","2"
"02M407","INSTITUTE FOR COLLABORATIVE EDUCATION","54","492","465","467","992626","0.85",""
"02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","94","509","490","523","765316","0.92","1"
"02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL","104","496","563","518","381202","0","3"
"02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES","114","537","590","550","425108","0.92","4"
"02M413","SCHOOL OF THE FUTURE HIGH SCHOOL","66","517","533","515","319140","0.85","3"
"02M414","N.Y.C. MUSEUM SCHOOL","103","468","492","459","414827","0.92","1"
"02M416","ELEANOR ROOSEVELT HIGH SCHOOL","127","572","594","592","799903","0.92","2"
"02M418","MILLENNIUM HIGH SCHOOL","144","528","553","533","848911","0.85","2"
"02M419","LANDMARK HIGH SCHOOL","62","390","399","381","166135","0.78","2"
"02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES","336","429","449","428","909712","0.92","3"
"02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL","84","416","426","391","436071","0.92","4"
"02M429","LEGACY SCHOOL FOR INTEGRATED STUDIES","29","356","357","349","536177","0.92","1"
"02M439","MANHATTAN VILLAGE ACADEMY","95","441","473","458","190235","0.85","1"
"02M440","BAYARD RUSTIN EDUCATIONAL COMPLEX","59","378","365","368","649686","0.92","2"
"02M449","VANGUARD HIGH SCHOOL","72","395","416","388","320922","0.85","4"
"02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL","49","376","460","391","563511","0.85","3"
"02M460","WASHINGTON IRVING HIGH SCHOOL","151","373","387","360","717859","0.78","3"
"02M475","STUYVESANT HIGH SCHOOL","832","679","735","682","295947","0","4"
"02M489","HIGH SCHOOL OF ECONOMICS AND FINANCE","167","443","489","442","775466","0.92","4"
"02M500","UNITY CENTER FOR URBAN TECHNOLOGIES","25","370","349","351","560831","0",""
"02M519","TALENT UNLIMITED HIGH SCHOOL","81","469","472","475","641361","0",""
"02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","264","407","440","393","892839","0.92","2"
"02M529","JACQUELINE KENNEDY ONASSIS HIGH SCHOOL","131","414","425","400","643403","0.85","4"
"02M531","REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS","42","429","404","420","630240","0",""
"02M542","MANHATTAN BRIDGES HIGH SCHOOL","66","336","378","344","794996","0.85",""
"02M543","NEW DESIGN HIGH SCHOOL","73","391","395","382","246078","0.78","2"
"02M544","INDEPENDENCE HIGH SCHOOL","14","389","371","335","657823","0.85","3"
"02M545","HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","78","412","581","431","216576","0.78","1"
"02M550","LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","26","368","436","352","651973","0.78","4"
"02M551","THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL","77","405","423","384","527749","0.92","3"
"02M560","HIGH SCHOOL M560 s CITY AS SCHOOL","56","498","440","477","785873","0.85","4"
"02M565","URBAN ACADEMY LABORATORY HIGH SCHOOL","30","527","508","512","660366","0.85","4"
"02M570","SATELLITE ACADEMY HIGH SCHOOL","33","350","337","345","875682","0.85","1"
"02M575","MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","121","345","517","343","683603","0.78","1"
"02M580","RICHARD R. GREEN HIGH SCHOOL OF TEACHING","84","408","384","403","947461","0","4"
"02M586","HARVEY MILK HIGH SCHOOL","9","458","416","429","392545","0.85","4"
"02M600","THE HIGH SCHOOL OF FASHION INDUSTRIES","335","423","423","411","894293","0.78","1"
"02M605","HUMANITIES PREPARATORY ACADEMY","36","426","403","426","930254","0","1"
"02M615","CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","83","399","418","390","477516","0.92","4"
"02M620","NORMAN THOMAS HIGH SCHOOL","154","370","379","359","655935","0",""
"02M625","HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS","191","395","382","376","754225","0","2"
"02M630","ART AND DESIGN HIGH SCHOOL","270","444","441","430","850641","0.85",""
"02M655","LIFE SCIENCES SECONDARY SCHOOL","61","409","424","403","885497","0.92","2"
"03M283","MANHATTAN THEATRE LAB HIGH SCHOOL","27","406","379","408","413786","0.85","3"
"03M299","HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","49","374","384","374","737942","0","1"
"03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE","41","384","390","370","448562","0.78","4"
"03M404","INNOVATION DIPLOMA PLUS","12","416","403","381","954823","0.92","4"
"03M470","LOUIS D. BRANDEIS HIGH SCHOOL","131","370","390","358","731158","0","4"
"03M479","BEACON HIGH SCHOOL","261","577","575","592","678328","0.92","2"
"03M485","FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS","531","566","564","577","567972","0.92","3"
"03M492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","66","396","398","402","778640","0.92","2"
"03M494","HIGH SCHOOL OF ARTS AND TECHNOLOGY","75","433","433","411","921952","0.85","1"
"03M505","EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL","35","401","369","351","635847","0.92","3"
