dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg._score,sat_math_avg._score,sat_writing_avg._score,sat_critical_readng_avg._score,internal_school_id,pct_students_tested,academic_tier_rating
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0,355,218160,78.0,2.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0,383,268547,84.66876971608833,3.0
01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0,377,236446,84.66876971608833,3.0
01M458,FORSYTH SATELLITE ACADEMY,7.0,414.0,401.0,359.0,414,427826,92.0,4.0
01M509,MARTA VALLE HIGH SCHOOL,44.0,390.0,433.0,384.0,390,672714,92.0,2.0
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112.0,332.0,557.0,316.0,332,414951,84.66876971608833,3.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0,522,697107,78.0,2.0
01M650,CASCADES HIGH SCHOOL,18.0,417.0,418.0,411.0,417,297600,92.0,4.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0,624,881396,84.66876971608833,
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0,395,751293,78.0,4.0
02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0,409,366268,92.0,
02M294,ESSEX STREET ACADEMY,53.0,394.0,384.0,378.0,394,782993,78.0,4.0
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,374.0,375.0,362.0,374,828714,92.0,3.0
02M298,PACE HIGH SCHOOL,85.0,423.0,438.0,432.0,423,778948,78.0,2.0
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,404.0,449.0,416.0,404,107670,92.0,
02M303,"FACING HISTORY SCHOOL, THE",76.0,353.0,358.0,340.0,353,612918,84.66876971608833,
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,375.0,388.0,385.0,375,746648,85.0,
02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,403.0,392.0,405.0,403,642722,84.66876971608833,4.0
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69.0,408.0,390.0,390.0,408,981746,84.66876971608833,2.0
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,373.0,370.0,384.0,373,183677,92.0,
02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,391.0,391.0,394.0,391,104952,85.0,
02M376,NYC ISCHOOL,92.0,473.0,483.0,479.0,473,553041,78.0,4.0
02M394,EMMA LAZARUS HIGH SCHOOL,79.0,319.0,512.0,357.0,319,356123,78.0,2.0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,465.0,493.0,461.0,465,449778,84.66876971608833,2.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,492.0,465.0,467.0,492,992626,85.0,
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,509.0,490.0,523.0,509,765316,92.0,1.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,496.0,563.0,518.0,496,381202,84.66876971608833,3.0
