dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,internal_school_id,pct_students_tested
01M292,29,355,404,363,218160,78%
01M448,91,383,423,366,268547,
01M450,70,377,402,370,236446,
01M458,7,414,401,359,427826,92%
01M509,44,390,433,384,672714,92%
01M515,112,332,557,316,414951,
01M539,159,522,574,525,697107,78%
01M650,18,417,418,411,297600,92%
01M696,130,624,604,628,881396,
02M047,16,395,400,387,751293,78%
02M288,62,409,393,392,366268,92%
02M294,53,394,384,378,782993,78%
02M296,58,374,375,362,828714,92%
02M298,85,423,438,432,778948,78%
02M300,48,404,449,416,107670,92%
02M303,76,353,358,340,612918,
02M305,50,375,388,385,746648,85%
02M308,40,403,392,405,642722,
02M313,69,408,390,390,981746,
02M316,42,373,370,384,183677,92%
02M374,60,391,391,394,104952,85%
02M376,92,473,483,479,553041,78%
02M394,79,319,512,357,356123,78%
02M400,263,465,493,461,449778,
02M407,54,492,465,467,992626,85%
02M408,94,509,490,523,765316,92%
02M411,104,496,563,518,381202,
02M412,114,537,590,550,425108,92%
02M413,66,517,533,515,319140,85%
02M414,103,468,492,459,414827,92%
02M416,127,572,594,592,799903,92%
02M418,144,528,553,533,848911,85%
02M419,62,390,399,381,166135,78%
02M420,336,429,449,428,909712,92%
02M425,84,416,426,391,436071,92%
02M429,29,356,357,349,536177,92%
02M439,95,441,473,458,190235,85%
02M440,59,378,365,368,649686,92%
02M449,72,395,416,388,320922,85%
02M459,49,376,460,391,563511,85%
02M460,151,373,387,360,717859,78%
02M475,832,679,735,682,295947,
02M489,167,443,489,442,775466,92%
02M500,25,370,349,351,560831,
02M519,81,469,472,475,641361,
02M520,264,407,440,393,892839,92%
02M529,131,414,425,400,643403,85%
02M531,42,429,404,420,630240,
02M542,66,336,378,344,794996,85%
02M543,73,391,395,382,246078,78%
02M544,14,389,371,335,657823,85%
02M545,78,412,581,431,216576,78%
02M550,26,368,436,352,651973,78%
02M551,77,405,423,384,527749,92%
02M560,56,498,440,477,785873,85%
02M565,30,527,508,512,660366,85%
02M570,33,350,337,345,875682,85%
02M575,121,345,517,343,683603,78%
02M580,84,408,384,403,947461,
02M586,9,458,416,429,392545,85%
02M600,335,423,423,411,894293,78%
02M605,36,426,403,426,930254,
02M615,83,399,418,390,477516,92%
02M620,154,370,379,359,655935,
02M625,191,395,382,376,754225,
02M630,270,444,441,430,850641,85%
02M655,61,409,424,403,885497,92%
03M283,27,406,379,408,413786,85%
03M299,49,374,384,374,737942,
03M307,41,384,390,370,448562,78%
03M404,12,416,403,381,954823,92%
03M470,131,370,390,358,731158,
03M479,261,577,575,592,678328,92%
03M485,531,566,564,577,567972,92%
03M492,66,396,398,402,778640,92%
03M494,75,433,433,411,921952,85%
03M505,35,401,369,351,635847,92%
03M541,111,473,506,467,955192,78%
03M860,43,356,379,361,503561,92%
04M409,48,354,357,373,379117,92%
04M435,375,461,514,455,292563,85%
04M495,51,373,379,376,671970,
04M555,73,405,421,395,970677,78%
04M610,70,432,446,448,880781,92%
04M635,48,369,369,357,968745,92%
04M680,31,358,351,345,141965,78%
05M285,29,357,318,333,737575,92%
05M304,54,413,399,398,296405,78%
05M367,33,354,366,342,680647,78%
05M369,56,360,353,364,442306,85%
05M469,20,354,360,385,594021,85%
05M499,214,458,474,442,813534,92%
05M670,66,396,402,404,530977,92%
05M685,61,369,361,355,371377,
05M692,101,605,654,588,302370,78%
06M293,60,408,446,416,604767,
06M346,55,362,376,367,654733,
06M348,70,380,395,399,339162,78%
06M457,7,394,357,346,381754,92%
06M462,76,365,384,378,933430,
06M463,63,369,380,349,131970,92%
06M467,94,363,378,361,344969,78%
06M468,24,400,422,402,842071,78%
06M540,228,430,456,423,547675,78%
06M552,56,339,349,326,603045,78%
07X221,65,364,378,348,277389,92%
07X321,9,379,364,382,821462,92%
07X334,34,310,324,311,791798,85%
07X427,43,361,359,357,460390,92%
07X473,63,351,375,371,922114,78%
07X495,79,403,394,404,913548,85%
07X500,66,420,426,411,852272,85%
07X520,64,399,396,391,458204,
07X527,62,362,378,363,553153,
07X547,28,367,356,361,113401,92%
07X548,44,387,411,383,875037,
07X551,51,413,381,407,412580,92%
07X600,76,394,400,364,327975,78%
07X655,47,398,416,370,723932,
07X670,114,363,368,364,599605,85%
08X282,44,407,386,378,620873,
08X293,52,384,385,389,908269,78%
08X295,41,416,390,394,939020,78%
08X305,67,337,361,340,159654,78%
08X312,67,387,402,375,635239,78%
08X332,39,363,371,350,953485,78%
08X377,9,367,369,376,146673,
08X405,415,412,436,393,534496,92%
08X408,6,402,373,413,399276,85%
08X452,39,369,371,365,915453,
08X519,68,373,370,356,719359,
08X530,54,373,381,377,189134,92%
08X540,16,366,400,368,504978,78%
08X560,9,404,368,399,906309,78%
08X650,78,377,359,376,411110,78%
09X227,39,324,376,349,958742,92%
09X231,78,373,387,374,831788,78%
09X239,33,372,355,357,746616,85%
09X241,80,411,464,415,430330,85%
09X250,50,393,394,382,183756,78%
09X252,67,369,367,356,183078,85%
09X260,81,459,480,457,840464,85%
09X263,74,356,363,356,250874,92%
09X276,30,361,353,367,601974,85%
09X297,38,386,386,376,593297,92%
09X329,51,382,365,391,559037,85%
09X365,54,315,339,297,289455,
09X403,49,314,312,339,792726,78%
09X404,32,363,360,351,738581,85%
09X412,34,356,376,351,160081,85%
09X413,64,400,419,402,769242,92%
09X414,35,379,364,379,270670,85%
09X505,80,404,418,402,568598,
09X517,50,368,384,369,898217,85%
09X525,114,384,394,388,906925,92%
09X543,27,353,315,371,788221,85%
10X141,113,438,455,440,718131,78%
10X213,86,373,412,365,163342,
10X237,79,382,393,382,652542,78%
10X243,26,382,406,370,532813,92%
10X268,52,304,356,302,127586,92%
10X284,54,402,395,385,105294,
10X342,49,300,333,301,421471,78%
10X368,111,390,408,383,503135,85%
10X374,61,392,401,387,909525,
10X397,38,343,356,330,567351,78%
10X433,57,370,371,365,538852,85%
10X434,51,404,418,400,730850,78%
10X437,48,355,350,372,438977,85%
10X438,63,367,385,367,918302,78%
10X439,65,366,364,352,869041,
10X440,443,419,426,410,367828,85%
10X442,52,423,420,427,202180,
10X445,731,632,688,649,816688,
10X475,109,351,362,339,828171,78%
10X477,99,414,435,414,782106,78%
10X546,68,348,362,354,794120,78%
10X549,55,372,379,364,410088,
10X660,73,362,382,356,370212,85%
10X667,10,350,356,317,220963,
10X696,92,636,648,636,276137,
11X249,74,370,381,382,264250,
11X253,46,400,357,390,176092,
11X265,81,377,391,367,350123,78%
11X270,56,386,394,361,112591,85%
11X275,72,381,376,354,244509,
11X288,97,444,471,433,929871,92%
11X290,69,387,365,383,465490,78%
11X299,60,387,391,391,421151,92%
11X415,121,367,361,353,222860,
11X418,48,419,433,416,754398,78%
11X455,189,386,397,368,913285,78%
11X513,72,332,381,335,406117,78%
11X514,48,377,372,363,364885,85%
11X541,57,372,382,375,781847,85%
11X542,76,431,438,419,229514,
11X544,55,383,378,365,330785,92%
11X545,46,388,393,382,312943,
12X245,25,348,344,354,827833,85%
12X248,49,347,367,341,653086,85%
12X251,57,381,381,360,183547,
12X262,30,361,353,360,105176,85%
